epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
169,742.427,1.59402,0.96636,0.93935,0.71647,0.7635,0.73141,0.40511,1.74287,1.04026,0.96323,0.000712282,0.000712282,0.000712282
170,746.877,1.60723,0.99592,0.93046,0.71486,0.77396,0.73978,0.40799,1.72466,1.02279,0.96005,0.00067536,0.00067536,0.00067536
171,751.26,1.58545,0.96482,0.93047,0.70891,0.76277,0.72542,0.3905,1.73412,1.02531,0.9599,0.000639518,0.000639518,0.000639518
172,755.668,1.6199,0.99171,0.94043,0.7192,0.74605,0.72594,0.3874,1.7306,1.03183,0.96146,0.000604763,0.000604763,0.000604763
173,760.104,1.58348,0.96163,0.9369,0.72496,0.75177,0.73338,0.39982,1.74038,1.03209,0.96217,0.000571106,0.000571106,0.000571106
174,764.541,1.61483,1.00191,0.94176,0.73622,0.73478,0.72901,0.39871,1.74058,1.03568,0.96197,0.000538554,0.000538554,0.000538554
175,768.952,1.57589,0.95598,0.92746,0.74103,0.74527,0.72553,0.38668,1.7405,1.03724,0.96311,0.000507115,0.000507115,0.000507115
176,773.314,1.57688,0.96091,0.93466,0.73476,0.74421,0.7332,0.38834,1.74388,1.03229,0.96478,0.000476796,0.000476796,0.000476796
177,777.746,1.55857,0.9538,0.92892,0.72918,0.74941,0.73527,0.40078,1.72302,1.02339,0.96316,0.000447606,0.000447606,0.000447606
178,782.152,1.57342,0.95969,0.94051,0.71676,0.76547,0.7362,0.4059,1.7171,1.01945,0.95985,0.000419552,0.000419552,0.000419552
179,786.535,1.55812,0.96107,0.92704,0.72731,0.76915,0.73537,0.39643,1.71122,1.02289,0.95942,0.00039264,0.00039264,0.00039264
